Calib;node;Prior
ROOT;247;'U(4.520,1E-300)'
LUCA;248;'B(3.3470,4.5200,1E-300,1E-300)'
LUCA-DUP;368;'B(3.3470,4.5200,1E-300,1E-300)'
LECA;269;'B(1.0856,1.8796,0.0250,0.0250)'
LECA-DUP;457;'B(1.0856,1.8796,0.0250,0.0250)'
TG-OXYPHOTOBACTERIA;308;'B(2.945,4.5200,1E-300,1E-300)'
TG-OXYPHOTOBACTERIA-DUP;422;'B(2.945,4.5200,1E-300,1E-300)'
CG-OXYPHOTOBACTERIA;309;'B(2.0136,3.4480,0.0250,0.0250)'
CG-OXYPHOTOBACTERIA-DUP;423;'B(2.0136,3.4480,0.0250,0.0250)'
TG-EUKARYA-ARCH;268;'B(1.6191,3.4480,1E-300,1E-300)'
TG-EUKARYA-ARCH-DUP;456;'B(1.6191,3.4480,1E-300,1E-300)'
TG-EUKARYA-MITO;329;'B(1.0856,4.5200,0.0250,1e-300)'
TG-EUKARYA-MITO-DUP;391;'B(1.0856,4.5200,0.0250,1e-300)'
ARCHAEPLASTIDA;280;'B(1.0300,1.8796,1E-300,1E-300)'
ARCHAEPLASTIDA-DUP1;312;'B(1.0300,1.8796,1E-300,1E-300)'
ARCHAEPLASTIDA-DUP2;338;'B(1.0300,1.8796,1E-300,1E-300)'
ARCHAEPLASTIDA-DUP3;402;'B(1.0300,1.8796,1E-300,1E-300)'
ARCHAEPLASTIDA-DUP4;426;'B(1.0300,1.8796,1E-300,1E-300)'
ARCHAEPLASTIDA-DUP5;468;'B(1.0300,1.8796,1E-300,1E-300)'
EMBRYOPHYTA;283;'B(0.4305,0.5155,1E-300,0.0250)'
EMBRYOPHYTA-DUP1;314;'B(0.4305,0.5155,1E-300,0.0250)'
EMBRYOPHYTA-DUP2;340;'B(0.4305,0.5155,1E-300,0.0250)'
EMBRYOPHYTA-DUP3;404;'B(0.4305,0.5155,1E-300,0.0250)'
EMBRYOPHYTA-DUP4;430;'B(0.4305,0.5155,1E-300,0.0250)'
EMBRYOPHYTA-DUP5;471;'B(0.4305,0.5155,1E-300,0.0250)'
EUDICOT-MONOCOT;284;'B(0.1250,0.2472,1E-300,0.0250)'
EUDICOT-MONOCOT-DUP1;315;'B(0.1250,0.2472,1E-300,0.0250)'
EUDICOT-MONOCOT-DUP2;341;'B(0.1250,0.2472,1E-300,0.0250)'
EUDICOT-MONOCOT-DUP3;405;'B(0.1250,0.2472,1E-300,0.0250)'
EUDICOT-MONOCOT-DUP4;472;'B(0.1250,0.2472,1E-300,0.0250)'
CG-FORAMINIFERA;292;'B(0.5225,1.8910,1E-300,1E-300)'
CG-FORAMINIFERA-DUP1;413;'B(0.5225,1.8910,1E-300,1E-300)'
CG-FORAMINIFERA-DUP2;480;'B(0.5225,1.8910,1E-300,1E-300)'
FUNGI;272;'B(0.3921,1.8910,1E-300,0.0250)'
FUNGI-DUP1;332;'B(0.3921,1.8910,1E-300,0.0250)'
FUNGI-DUP2;395;'B(0.3921,1.8910,1E-300,0.0250)'
FUNGI-DUP;460;'B(0.3921,1.8910,1E-300,0.0250)'
EUMETAZOA;275;'B(0.5611,0.5908,1E-300,0.0250)'
EUMETAZOA-DUP1;334;'B(0.5611,0.5908,1E-300,0.0250)'
EUMETAZOA-DUP2;398;'B(0.5611,0.5908,1E-300,0.0250)'
EUMETAZOA-DUP3;463;'B(0.5611,0.5908,1E-300,0.0250)'
METAZOA;274;'B(0.5740,0.6090,1E-300,0.0250)'
METAZOA;333;'B(0.5740,0.6090,1E-300,0.0250)'
METAZOA;397;'B(0.5740,0.6090,1E-300,0.0250)'
METAZOA;462;'B(0.5740,0.6090,1E-300,0.0250)'
