mean_t	2.5%q	97.5%q
t_n248|LUCA_main-conc	4274.561	4180.49	4349.79
t_n368|LUCA-dup_main-conc	4274.561	4180.49	4349.79
t_n248|LUCA_ATP	4400.765	4301.31	4472.88
t_n368|LUCA-dup_ATP	4400.765	4301.31	4472.88
t_n248|LUCA_EF	4094.587	3878.47	4268.18
t_n368|LUCA-dup_EF	4094.587	3878.47	4268.18
t_n248|LUCA_Leu	4356.543	4241.45	4439.17
t_n368|LUCA-dup_Leu	4356.543	4241.45	4439.17
t_n248|LUCA_SRP	4257.52	4096.26	4389.01
t_n368|LUCA-dup_SRP	4257.52	4096.26	4389.01
t_n248|LUCA_Tyr	4372.942	4199.28	4485.76
t_n368|LUCA-dup_Tyr	4372.942	4199.28	4485.76
t_n243|LUCA_noATP	4225.349	4112.82	4316.35
t_n359|LUCA-dup_noATP	4225.349	4112.82	4316.35
t_n238|LUCA_noEF	4314.612	4227.42	4383.25
t_n351|LUCA-dup_noEF	4314.612	4227.42	4383.25
t_n245|LUCA_noLeu	4263.249	4165.7	4342.33
t_n364|LUCA-dup_noLeu	4263.249	4165.7	4342.33
t_n248|LUCA_noSRP	4285.106	4184.61	4363.36
t_n368|LUCA-dup_noSRP	4285.106	4184.61	4363.36
t_n246|LUCA_noTyr	4270.024	4168.78	4349.73
t_n365|LUCA-dup_noTyr	4270.024	4168.78	4349.73
t_n248|LUCA_main-bsinbv	4260.907	4156.81	4343.33
t_n368|LUCA-dup_main-bsinbv	4260.907	4156.81	4343.33
